Professor Name,Profile URL
Dr R Balasubramanian,https://iitr.irins.org/profile/49525
Prof Dharmendra  Singh,https://iitr.irins.org/profile/155236
Prof Manoj Mishra,https://iitr.irins.org/profile/49527
Dr Gangopadhyay Sugata,https://iitr.irins.org/profile/49526
Dr Partha Pratim  Roy,https://iitr.irins.org/profile/155233
Dr P Sateesh Kumar,https://iitr.irins.org/profile/155232
Dr Durga Toshniwal,https://iitr.irins.org/profile/49535
Dr Rajdeep Niyogi,https://iitr.irins.org/profile/49529
Dr Sandeep Kumar  Garg,https://iitr.irins.org/profile/155231
Prof Rahul Thakur,https://iitr.irins.org/profile/99749
Dr Raksha  Sharma,https://iitr.irins.org/profile/155235
Dr Sudip  Roy,https://iitr.irins.org/profile/155234
