Serial No.,Research Area,Faculty Members
1,Activity Recognition & Pattern Recognition,Dr. Balasubramanian Raman
2,Affective Computing,Dr. Balasubramanian Raman
3,Application with the name of the systems,"Prof Raksha Sharma, Prof Debiprasanna Sahoo, Prof Pravendra Singh"
4,Artificial Intelligence,Prof. Durga Toshniwal
5,Bio Signal Analysis,Dr. Partha Pratim Roy
6,Biometrics,Dr. Partha Pratim Roy
7,Cloud Computing,Prof. Sateesh Kumar Peddoju
8,Cognitive Modelling,Dr. Partha Pratim Roy
9,Computational Neuroscience,Dr. Partha Pratim Roy
10,Computer Vision,"Dr. Balasubramanian Raman, Dr. Partha Pratim Roy"
11,Data Mining and Big Data,Prof. Durga Toshniwal
12,Data Security,"Prof. SugataGangopadhyay, Prof. Sateesh Kumar Peddoju, Dr. Balasubramanian Raman"
13,Deep Learning,"Prof. SugataGangopadhyay, Dr. Partha Pratim Roy, Prof. Durga Toshniwal, Prof. Neetesh Kumar, Prof. Pradhumn Kumar Pandey"
14,Dynamic Texture Recognition,Dr. Balasubramanian Raman
15,EEG-based pattern Analysis,Dr. Partha Pratim Roy
16,Hyperspectral Imaging,Dr. Balasubramanian Raman
17,Image Processing,"Dr. Balasubramanian Raman, Dr. Partha Pratim Roy"
18,Image Segmentation,Dr. Partha Pratim Roy
19,"Internet of Things, Deep Learning",Prof. Rahul Thakur
20,Machine Learning,"Dr. Balasubramanian Raman, Dr. Partha Pratim Roy, Prof. Durga Toshniwal, Prof. Neetesh Kumar, Prof. Pradhumn Kumar Pandey"
21,Medical Imaging,Dr. Balasubramanian Raman
22,Multi-lingual Text Recognition,Dr. Partha Pratim Roy
23,Natural Language Processing,"Prof Raksha Sharma, Prof Debiprasanna Sahoo, Prof Pravendra Singh"
24,Pattern Recognition,Dr. Partha Pratim Roy
25,Post-Quantum Cryptography,Prof. SugataGangopadhyay
26,Privacy-Preserving Computing,Dr. Balasubramanian Raman
27,Quantum Computing Toolkit,Prof. SugataGangopadhyay
28,Reinforcement Learning,"Dr. Balasubramanian Raman, Prof. Neetesh Kumar, Prof. Pradhumn Kumar Pandey"
29,SIoVs,"Prof. Neetesh Kumar, Prof. Pradhumn Kumar Pandey"
30,Social Networking,Prof. Rahul Thakur
31,Software-Defined Wireless Sensors Network,"Prof. Neetesh Kumar, Prof. Pradhumn Kumar Pandey"
32,Temporal Data Analysis,Dr. Partha Pratim Roy
33,Traffic congestion,"Prof. Neetesh Kumar, Prof. Pradhumn Kumar Pandey"
34,Ubiquitous Computing,Prof. Sateesh Kumar Peddoju
35,Wireless Communication and Networks,Prof. Rahul Thakur
